"","datasetName","Year","Month","individualCount","vernacularName","geometry"
"799","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.725167, 42.948333)
"800","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.342, 44.208833)
"801","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2012","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.867333, 44.759167)
"802","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"803",NA,"2013","09",NA,"squid long finned",c(-70.5736651586421, 43.2643900169008)
"804",NA,"2013","10",NA,"squid long finned",c(-69.9072400714653, 43.6728750057631)
"805",NA,"2008","10",NA,"squid long finned",c(-68.7555151143584, 43.9067800085137)
"806",NA,"2011","10",NA,"squid long finned",c(-70.086030171543, 43.6595900513741)
"807","MARITIMES SPRING RESEARCH VESSEL SURVEY","2013","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-67.678333, 42.085833)
"808",NA,"2013","05",NA,"squid long finned",c(-70.1988455288257, 43.506975179932)
"809","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-65.5798, 44.96)
"810","MARITIMES SPRING RESEARCH VESSEL SURVEY","2013","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.847833, 42.057667)
"811","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.238333, 42.349167)
"812",NA,"2002","10","2",NA,c(-69.08533, 43.75283)
"813",NA,"2013","05",NA,"squid long finned",c(-68.4580196189406, 44.2418151222515)
"814","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"815","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"816",NA,"2011","05",NA,"squid long finned",c(-68.7204003043182, 43.7704334034645)
"817","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2011","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.271333, 42.219667)
"818","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"819",NA,"2011","05",NA,"squid long finned",c(-67.759091645697, 44.4741583337382)
"820",NA,"2007","10",NA,"squid long finned",c(-69.7551252974336, 43.6175303356085)
"821",NA,"2012","05",NA,"squid long finned",c(-69.9302654130329, 43.7064953924757)
"822",NA,"2000","11",NA,"squid long finned",c(-67.7969505103403, 44.2996504878936)
"823","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2014","07",NA,NA,c(-66.2432, 42.6935)
"824","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.782667, 43.445)
"825",NA,"2011","05",NA,"squid long finned",c(-68.930817205726, 44.2170834320638)
"826","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.754833, 42.272833)
"827",NA,"2016","05",NA,"squid long finned",c(-68.1575744663586, 44.3775151148066)
"828","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"829","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.7895, 42.113667)
"830","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.578333, 42.326667)
"831","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.238333, 42.349167)
"832","MARITIMES SPRING RESEARCH VESSEL SURVEY","2014","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.581, 42.522)
"833",NA,"2006","10",NA,"squid long finned",c(-69.8081502932845, 43.7103253105042)
"834",NA,"2017","10",NA,"squid long finned",c(-70.4706253336708, 43.096725248068)
"835","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2013","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.154667, 42.514667)
"836",NA,"2009","10",NA,"squid long finned",c(-70.4189654904416, 43.0593651160589)
"837",NA,"2014","10",NA,"squid long finned",c(-70.1867803706081, 43.4436950727352)
"838",NA,"2005","10",NA,"squid long finned",c(-70.2419204675476, 43.4000851230774)
"839","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"840",NA,"2012","05",NA,"squid long finned",c(-70.1288744772792, 43.4004001809664)
"841","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"842","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2013","07",NA,NA,c(-65.3595, 42.6498)
"843",NA,"2014","10",NA,"squid long finned",c(-70.5741099132648, 43.2330150066839)
"844",NA,"2019","05","1",NA,c(-67.2417, 43.2443)
"845","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"846","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","06",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.036833, 43.526167)
"847","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.238333, 42.349167)
"848",NA,"2005","10",NA,"squid long finned",c(-68.7855701411598, 43.7715400106772)
"849",NA,"2005","10",NA,"squid long finned",c(-70.2785802039051, 43.4276651995057)
"850","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.238333, 42.349167)
"851","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.428167, 42.747667)
"852",NA,"2008","10",NA,"squid long finned",c(-68.2987502551032, 44.0117350342493)
"853",NA,"2016","05",NA,"squid long finned",c(-69.0472002640472, 43.6089353568991)
"854","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2012","07",NA,NA,c(-66.8673, 44.7592)
"855","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.238333, 42.349167)
"856",NA,"2014","10",NA,"squid long finned",c(-67.5254505848016, 44.3261751415473)
"857",NA,"2012","10",NA,"squid long finned",c(-68.106365406568, 44.1495751660787)
"858","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.9455, 42.107167)
"859",NA,"2012","05",NA,"squid long finned",c(-67.7317705014325, 44.3172252883515)
"860","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"861",NA,"2009","11",NA,"squid long finned",c(-67.5982602319963, 44.3147500998991)
"862","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.579833, 44.96)
"863",NA,"2009","10",NA,"squid long finned",c(-68.643290531965, 43.7762251753416)
"864",NA,"2008","09",NA,"squid long finned",c(-70.552340650514, 42.8789202455932)
"865",NA,"2000","11",NA,"squid long finned",c(-70.1118497731975, 43.5098500188017)
"866",NA,"2004","10",NA,"squid long finned",c(-70.4687500828838, 42.9564153344502)
"867","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2013","07",NA,NA,c(-65.1547, 42.5147)
"868",NA,"2014","06",NA,"squid long finned",c(-67.1646104070329, 44.550950179968)
"869","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.856167, 43.555)
"870","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"871",NA,"2017","10",NA,"squid long finned",c(-70.3362151858782, 43.2094650348983)
"872",NA,"2011","10",NA,"squid long finned",c(-68.2319403529034, 43.9616100585243)
"873","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.435167, 43.9845)
"874","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"875","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"876",NA,"2011","11",NA,"squid long finned",c(-67.6615705158581, 44.3742652509341)
"877",NA,"2006","10",NA,"squid long finned",c(-69.7044848594482, 43.7069750118934)
"878",NA,"2016","05",NA,"squid long finned",c(-67.881675641695, 44.2319503463475)
"879","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.265667, 42.738667)
"880","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.579833, 44.96)
"881",NA,"2009","10",NA,"squid long finned",c(-69.7397951542082, 43.7518350121939)
"882","MARITIMES SPRING RESEARCH VESSEL SURVEY","2014","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.581, 42.522)
"883","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"884","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.875667, 42.468833)
"885","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.7895, 42.113667)
"886",NA,"2007","10",NA,"squid long finned",c(-70.4964954137693, 42.9927900922332)
"887","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.7895, 42.113667)
"888",NA,"2011","10",NA,"squid long finned",c(-70.5353804393883, 43.191015093544)
"889",NA,"2012","10",NA,"squid long finned",c(-68.2724004902457, 44.0368402896644)
"890",NA,"2017","05",NA,"squid long finned",c(-68.4763002799182, 43.8372050342376)
"891","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2012","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.867333, 44.759167)
"892",NA,"2008","10",NA,"squid long finned",c(-70.290000212884, 43.5489101112201)
"893","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.445667, 43.4265)
"894",NA,"2012","05",NA,"squid long finned",c(-69.12486554293, 43.9252002467853)
"895",NA,"2007","10",NA,"squid long finned",c(-67.8640251543237, 44.0619904442777)
"896","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"897",NA,"2007","04","2",NA,c(-68.60845, 42.18595)
"898","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.310167, 42.507667)
"899","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.6815, 44.850333)
"900",NA,"2007","10",NA,"squid long finned",c(-68.2671004453245, 43.9203351824055)
"901","MARITIMES SPRING RESEARCH VESSEL SURVEY","2020","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.208833, 42.114)
"902","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-65.4958, 42.6073)
"903",NA,"2011","10",NA,"squid long finned",c(-70.4197004697071, 43.0740751427392)
"904","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"905",NA,"2013","10",NA,"squid long finned",c(-69.8772354290872, 43.5351250890242)
"906","MARITIMES SPRING RESEARCH VESSEL SURVEY","2020","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.859667, 42.7145)
"907","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"908",NA,"2016","05",NA,"squid long finned",c(-67.7495104943628, 44.3644653143257)
"909","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.2505, 42.525833)
"910",NA,"2019","05",NA,"squid long finned",c(-67.8582031264321, 44.2431480680914)
"911","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.472833, 42.620333)
"912","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.7895, 42.113667)
"913",NA,"2013","10",NA,"squid long finned",c(-68.8537803558162, 43.6849250725037)
"914","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.579833, 44.96)
"915",NA,"2015","06",NA,"squid long finned",c(-67.6430501272893, 44.4578500094187)
"916","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.265667, 42.738667)
"917",NA,"2007","10",NA,"squid long finned",c(-69.4878602569361, 43.8303500269095)
"918",NA,"2006","10",NA,"squid long finned",c(-68.6965755022619, 43.7889352603876)
"919",NA,"2000","11",NA,"squid long finned",c(-68.1647008138346, 44.3135502246553)
"920","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.6815, 44.850333)
"921",NA,"2006","10",NA,"squid long finned",c(-68.5709905054855, 43.8194152075939)
"922",NA,"2009","05",NA,"squid long finned",c(-68.3225254710189, 43.9928500775011)
"923",NA,"2017","05",NA,"squid long finned",c(-69.7124650635311, 43.5944500047552)
"924",NA,"2012","05",NA,"squid long finned",c(-70.35490554277, 43.0504301827219)
"925",NA,"2013","10",NA,"squid long finned",c(-68.1306350260123, 44.2923000046704)
"926","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"927",NA,"2004","10","1",NA,c(-68.67893, 42.23294)
"928",NA,"2017","10",NA,"squid long finned",c(-68.5553249791648, 43.9396550037368)
"929",NA,"2013","05",NA,"squid long finned",c(-70.2958202348605, 43.1996050478792)
"930","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2012","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.0655, 44.8405)
"931",NA,"2013","05",NA,"squid long finned",c(-68.1564648159886, 44.4425750364555)
"932",NA,"2010","10",NA,"squid long finned",c(-68.0494649785754, 44.0579000017599)
"933",NA,"2017","10",NA,"squid long finned",c(-69.7498650541887, 43.6189000045271)
"934",NA,"2015","05",NA,"squid long finned",c(-68.1646755350511, 44.3133252416064)
"935","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2014","07",NA,NA,c(-65.4257, 42.362)
"936","MARITIMES SPRING RESEARCH VESSEL SURVEY","2014","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-64.6135, 42.696333)
"937",NA,"2003","06",NA,"squid long finned",c(-67.4429706842186, 44.5963502754604)
"938",NA,"2015","05",NA,"squid long finned",c(-67.9201104058571, 44.1830400624098)
"939",NA,"2018","05",NA,"squid long finned",c(-67.6020205864797, 44.3107002714302)
"940","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"941","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"942","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2012","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.0655, 44.8405)
"943",NA,"2017","06",NA,"squid long finned",c(-67.2827806598809, 44.5064752787492)
"944","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-64.822, 42.497)
"945","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"946","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.399833, 43.793667)
"947",NA,"2013","10",NA,"squid long finned",c(-69.401330471722, 43.6254651143283)
"948",NA,"2005","10",NA,"squid long finned",c(-70.1240845540294, 43.3964151548089)
"949",NA,"2005","10",NA,"squid long finned",c(-69.7075854062624, 43.6230000761456)
"950",NA,"2006","10",NA,"squid long finned",c(-69.6897802048228, 43.7115450247772)
"951",NA,"2009","10",NA,"squid long finned",c(-68.4616996642408, 44.273370133543)
"952",NA,"2000","04","2",NA,c(-66.67067, 42.5955)
"953",NA,"2011","10",NA,"squid long finned",c(-70.1205744991387, 43.3953851409058)
"954","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.875667, 42.468833)
"955",NA,"2001","10","2",NA,c(-69.22195, 43.77303)
"956",NA,"2008","09",NA,"squid long finned",c(-70.6639302280092, 42.9795300780386)
"957","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.9415, 43.014667)
"958",NA,"2003","10",NA,"squid long finned",c(-69.4860851102356, 43.8310850084027)
"959","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2011","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.271333, 42.219667)
"960",NA,"2011","10",NA,"squid long finned",c(-70.1961254357729, 43.4426400839877)
"961",NA,"2006","10",NA,"squid long finned",c(-69.2123594558638, 43.7581151647717)
"962",NA,"2001","05",NA,"squid long finned",c(-68.0069504266853, 44.2444502638153)
"963","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"964","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.754833, 42.272833)
"965",NA,"2013","05",NA,"squid long finned",c(-70.7486955220419, 42.9346301584865)
"966",NA,"2015","06",NA,"squid long finned",c(-67.921910509648, 44.2158501779105)
"967","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2014","07",NA,NA,c(-66.746, 42.9083)
"968",NA,"2001","10",NA,"squid long finned",c(-68.5477499095408, 44.3240000068928)
"969","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.238333, 42.349167)
"970","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.342, 44.208833)
"971",NA,"2012","10",NA,"squid long finned",c(-67.7197350011174, 44.1963250017062)
"972",NA,"2011","10",NA,"squid long finned",c(-70.6512497968575, 42.9649351539934)
"973",NA,"2003","10","97",NA,c(-70.4745, 42.43567)
"974","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.875667, 42.468833)
"975",NA,"2014","06",NA,"squid long finned",c(-67.5211494820058, 44.5185601829438)
"976",NA,"2014","10",NA,"squid long finned",c(-70.0817498454116, 43.4037000120673)
"977","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.257333, 42.392667)
"978","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2016","07",NA,NA,c(-66.1703, 42.1463)
"979",NA,"2012","05",NA,"squid long finned",c(-70.3061150069978, 43.522075387629)
"980","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-66.2657, 42.7387)
"981",NA,"2002","10","118",NA,c(-67.24183, 42.06167)
"982","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-64.822, 42.497)
"983",NA,"2010","10",NA,"squid long finned",c(-70.6101604266505, 42.8740050899452)
"984",NA,"2010","10",NA,"squid long finned",c(-68.7581897707033, 44.1403200228297)
"985",NA,"2008","10",NA,"squid long finned",c(-69.178474596965, 43.7702050684697)
"986",NA,"2011","05",NA,"squid long finned",c(-68.4792082087532, 44.2580500537624)
"987","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2016","07",NA,NA,c(-66.1703, 42.1463)
"988",NA,"2009","10",NA,"squid long finned",c(-69.6241755253882, 43.5766302014957)
"989",NA,"2015","10",NA,"squid long finned",c(-68.5313499906148, 44.3691750042067)
"990",NA,"2017","05",NA,"squid long finned",c(-69.8558002863131, 43.5830751623795)
"991",NA,"2016","10",NA,"squid long finned",c(-70.0202505720423, 43.5045352381828)
"992",NA,"2012","09",NA,"squid long finned",c(-70.3493252775647, 43.2569500666535)
"993",NA,"2011","10",NA,"squid long finned",c(-68.1602047539602, 44.4384600737922)
"994","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.875667, 42.468833)
"995","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.579833, 44.96)
"996",NA,"2012","05",NA,"squid long finned",c(-69.5378100720961, 43.8560500053815)
"997","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"998",NA,"2006","10","NA",NA,c(-68.40105, 43.93055)
"999","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.472833, 42.620333)
"1000","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"1001",NA,"2009","10",NA,"squid long finned",c(-67.9726753401739, 44.1859550543744)
"1002","MARITIMES SPRING RESEARCH VESSEL SURVEY","2020","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-64.426, 42.6985)
"1003","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","08",NA,NA,c(-65.3852, 42.2963)
"1004",NA,"2012","05",NA,"squid long finned",c(-69.1530354930937, 43.7458201318272)
"1005",NA,"2013","10",NA,"squid long finned",c(-69.8427803522728, 43.5865000568201)
"1006","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"1007",NA,"2016","05",NA,"squid long finned",c(-70.6492404722026, 42.9503102444196)
"1008",NA,"2007","10",NA,"squid long finned",c(-67.9903398161472, 44.3467900511979)
"1009","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2012","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.466667, 44.981333)
"1010","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"1011","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"1012",NA,"2002","10",NA,"squid long finned",c(-69.7954853498536, 43.6557250631932)
"1013",NA,"2015","06",NA,"squid long finned",c(-67.1931554136449, 44.4336851764159)
"1014",NA,"2006","05",NA,"squid long finned",c(-67.9555205061984, 44.2644752508724)
"1015","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2018","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.945333, 44.154)
"1016","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.8455, 43.3435)
"1017",NA,"2006","10",NA,"squid long finned",c(-68.172239722366, 44.3662850342801)
"1018","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2014","07",NA,NA,c(-65.4257, 42.362)
"1019","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"1020",NA,"2014","05",NA,"squid long finned",c(-68.7478203079754, 43.9904651333459)
"1021",NA,"2016","09",NA,"squid long finned",c(-70.2680553950591, 43.530095337377)
"1022","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"1023",NA,"2013","09",NA,"squid long finned",c(-70.2165995775636, 43.2405300804172)
"1024",NA,"2016","05",NA,"squid long finned",c(-69.8318154761981, 43.4412351734851)
"1025","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.669833, 44.735167)
"1026",NA,"2002","11",NA,"squid long finned",c(-68.3544154674069, 44.0152252291009)
"1027",NA,"2017","10",NA,"squid long finned",c(-68.7551748841225, 44.1395800085166)
"1028",NA,"2012","10",NA,"squid long finned",c(-68.1249299638976, 44.1261300032154)
"1029",NA,"2010","10",NA,"squid long finned",c(-70.7458254776608, 42.8639551120329)
"1030","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.9455, 42.107167)
"1031",NA,"2000","12",NA,"squid long finned",c(-67.67285043832, 44.3016510722856)
"1032","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.7895, 42.113667)
"1033",NA,"2002","10","1",NA,c(-68.028, 44.188)
"1034",NA,"2012","10",NA,"squid long finned",c(-69.9152398576735, 43.5415000167285)
"1035","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"1036",NA,"2007","10",NA,"squid long finned",c(-69.096140317974, 43.7210250840971)
